MES,PRODUCTO,PZAS VENDIDAS,PZAS RESTANTES,IMPORTE
ENERO,PAPEL HIGIENICO 4R,27,33,"$1,202.04"
ENERO,LIMPIADOR MULTIUSOS 900ML,34,26,"$1,045.16"
ENERO,DETERGENTE POLVO 2 KILOS,44,52,"$3,824.48"
ENERO,PASTA DENTAL 100 ML,91,29,"$3,183.18"
ENERO,BOLSAS PARA BASURA 30 PIEZAS,31,5,"$1,150.10"
ENERO,JABON EN BARRA 3 PIEZAS,25,35,$715.50
ENERO,CLORO 950ML,63,57,"$1,268.82"
ENERO,SERVILLETAS 100 PIEZAS,32,4,$814.08
ENERO,SUAVIZANTE DE TELAS 1L,22,2,"$1,049.40"
ENERO,DESODORANTE EN BARRA 50G,58,14,"$2,951.04"
ENERO,Jabon liq manos 1 litro,18,6,$725.04
ENERO,TOALLAS DE COCINA 2 ROLLOS,34,14,"$1,297.44"
ENERO,CEPILLO DENTAL 2 PIEZAS,48,24,"$1,577.28"
ENERO,AROMATIZANTE EN AEROSOL 300ML,15,9,$651.90
ENERO,ACONDICIONADOR 500ML,59,13,"$3,689.86"
ENERO,ESPONJAS PARA TRASTES 4 PIEZAS,29,31,$553.32
ENERO,FIBRA MULTIUSOS 3 PIEZAS,29,19,$676.28
ENERO,GUANTES DE LIMPIEZA 1 PAR,0,36,$0.00
FEBRERO,ACONDICIONADOR 500ML,24,36,"$1,500.96"
FEBRERO,FIBRA MULTIUSOS 3 PIEZAS,22,26,$513.04
FEBRERO,SHAMPOO ANTICASPA 500ML,17,7,"$1,153.28"
FEBRERO,DETERGENTE POLVO 2 KILOS,32,28,"$2,781.44"
FEBRERO,CLORO 950ML,21,3,$422.94
FEBRERO,TOALLAS DE COCINA 2 ROLLOS,67,29,"$2,556.72"
FEBRERO,GUANTES DE LIMPIEZA 1 PAR,0,24,$0.00
FEBRERO,SERVILLETAS 100 PIEZAS,33,39,$839.52
FEBRERO,CREMA CORPORAL 400ML,24,12,"$1,831.68"
FEBRERO,PASTA DENTAL 100 ML,30,18,"$1,049.40"
FEBRERO,ESPONJAS PARA TRASTES 4 PIEZAS,79,41,"$1,507.32"
FEBRERO,SUAVIZANTE DE TELAS 1L,16,8,$763.20
FEBRERO,BOLSAS PARA BASURA 30 PIEZAS,59,37,"$2,188.90"
MARZO,FIBRA MULTIUSOS 3 PIEZAS,20,28,$466.40
MARZO,DESODORANTE EN BARRA 50G,16,32,$814.08
MARZO,BOLSAS PARA BASURA 30 PIEZAS,31,41,"$1,150.10"
MARZO,SUAVIZANTE DE TELAS 1L,9,15,$429.30
MARZO,DETERGENTE POLVO 2 KILOS,26,22,"$2,259.92"
MARZO,ACONDICIONADOR 500ML,32,40,"$2,001.28"
MARZO,JABON EN BARRA 3 PIEZAS,28,8,$801.36
MARZO,SERVILLETAS 100 PIEZAS,38,10,$966.72
MARZO,TOALLAS DE COCINA 2 ROLLOS,14,10,$534.24
MARZO,GUANTES DE LIMPIEZA 1 PAR,0,120,$0.00
MARZO,CLORO 950ML,30,6,$604.20
MARZO,SHAMPOO ANTICASPA 500ML,48,72,"$3,256.32"
MARZO,ESPONJAS PARA TRASTES 4 PIEZAS,55,17,"$1,049.40"
